index;title;year;rating;votes;runtime;genre;Awards
278;Howl's Moving Castle;2004;8,2;136153;119;Animation;0
279;Superman Returns;2006;6,2;205733;154;Action;1
280;King Arthur;2004;6,3;107097;126;Action;1
281;Madagascar;2005;6,9;182984;86;Animation;1
282;Mr. & Mrs. Smith;2005;6,4;236374;120;Action;1
283;Anchorman: The Legend of Ron Burgundy;2004;7,3;195798;94;Comedy;1
284;King Kong;2005;7,3;253640;187;Action;1
285;Inglourious Basterds;2009;8,3;556360;153;Adventure;0
286;The Terminal;2004;7,3;219436;128;Comedy;0
287;The Life Aquatic with Steve Zissou;2004;7,3;102399;119;Adventure;0
288;Dawn of the Dead;2004;7,4;153839;101;Action;1
289;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;2005;6,9;216450;143;Adventure;0
290;Dodgeball: A True Underdog Story;2004;6,7;136735;92;Comedy;0
291;Shaun of the Dead;2004;8;299764;99;Comedy;1
292;Harold & Kumar Go to White Castle;2004;7,2;128515;88;Adventure;0
293;Charlie and the Chocolate Factory;2005;6,8;231856;115;Adventure;1
294;Indiana Jones and the Kingdom of the Crystal Skull;2008;6,3;254789;122;Action;1
295;National Treasure;2004;6,9;199418;131;Action;1
296;AVP: Alien vs. Predator;2004;5,5;111584;101;Action;0
297;Iron Man;2008;7,9;467927;126;Action;0
298;The Bourne Supremacy;2004;7,8;251871;108;Action;0
299;Team America: World Police;2004;7,2;110704;98;Animation;0
300;Batman Begins;2005;8,3;657342;140;Action;1
301;Kiss Kiss Bang Bang;2005;7,7;142953;103;Action;0
302;Harry Potter and the Order of the Phoenix;2007;7,4;261515;138;Adventure;1
303;Napoleon Dynamite;2004;6,9;130519;82;Comedy;0
304;Sideways;2004;7,6;125477;126;Comedy;1
305;X-Men: The Last Stand;2006;6,8;265008;104;Action;0
306;Mean Girls;2004;6,9;166803;97;Comedy;1
307;Kill Bill: Vol. 2;2004;8;384686;137;Action;1
308;Serenity;2005;8;196675;119;Action;1
309;Casino Royale;2006;8;342173;144;Action;1
310;3:10 to Yuma;2007;7,8;191108;122;Adventure;0
311;Ratatouille;2007;8;339920;111;Animation;1
312;Pirates of the Caribbean: Dead Man's Chest;2006;7,3;381723;151;Action;0
313;The Golden Compass;2007;6,1;122839;113;Adventure;0
314;Hitch;2005;6,7;192054;118;Comedy;0
315;Click;2006;6,5;182883;107;Comedy;0
316;Wedding Crashers;2005;7;222310;119;Comedy;0
317;Bolt;2008;7;108261;96;Animation;0
318;Tangled;2010;7,9;175102;100;Animation;0
319;The Island;2005;6,9;217914;136;Action;0
320;John Carter;2012;6,6;165198;132;Action;0
321;Underworld: Evolution;2006;6,7;122183;106;Action;0
322;The 40-Year-Old Virgin;2005;7,2;233921;116;Comedy;0
323;War of the Worlds;2005;6,5;253227;116;Adventure;0
324;Flightplan;2005;6,2;102678;98;Action;1
325;Watchmen;2009;7,6;300569;162;Action;1
326;Cowboys & Aliens;2011;6,1;136790;119;Action;1
327;Hellboy II: The Golden Army;2008;7,1;169087;120;Action;0
328;Shrek the Third;2007;6;154120;93;Animation;1
329;Spider-Man 3;2007;6,3;262797;139;Action;0
330;300;2006;7,8;463799;117;Action;1
331;Snakes on a Plane;2006;5,7;102897;105;Action;0
332;Harry Potter and the Half-Blood Prince;2009;7,4;230099;153;Adventure;1
333;Stranger Than Fiction;2006;7,7;158488;113;Comedy;1
334;Get Smart;2008;6,6;139230;110;Action;1
335;Hot Fuzz;2007;7,9;264052;121;Action;0
